Species,PhyloCode,Lab.ID,Location.code,Major.Loc,Minor.Loc,Extracted,Infected.N,G_Lineage.name,Inf_Plas,Inf_Haem,Phylo.Lineage.Name,ECO_feedStrata,ECO_socialRoost,ECO_habitat,ECO_sdm,ECO_connect,ECO_range,ECO_minElev.Num,ECO_minElev.div100,Spp.Weight.Num,ECO_SppWt.div10,IND_BodyCI.globalbMSA,bmsa,IND_BodyCI2,IND_Cen.BodyCI2,IND_Cen.BodyCI2.div10
Anthus_nilghiriensis,Antnilghi,NP4,II,Silent valley,Upper Bhavani,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,NA,2.1339285,NA,NA,NA
Anthus_nilghiriensis,Antnilghi,NP6,III,Kodi,Kookal Shola,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,22.82679562,2.1339285,22.60541405,-0.685580612,-0.068558061
Anthus_nilghiriensis,Antnilghi,NP7,III,Kodi,Kookal Shola,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,22.24660217,2.1339285,22.69693424,-0.594060422,-0.059406042
Anthus_nilghiriensis,Antnilghi,NP8,III,Munnar,Rhodovalley,yes,0,NA,1,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,21.57705583,2.1339285,22.19225995,-1.098734712,-0.109873471
Anthus_nilghiriensis,Antnilghi,NP9,III,Munnar,Rhodovalley,yes,0,NA,1,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,21.57705583,2.1339285,22.19225995,-1.098734712,-0.109873471
Anthus_nilghiriensis,Antnilghi,NP2,II,Silent valley,Upper Bhavani,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,21.57705583,2.1339285,22.19225995,-1.298734712,-0.209873471
Anthus_nilghiriensis,Antnilghi,NP3,II,Silent valley,Upper Bhavani,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,21.57705583,2.1339285,22.19225995,-1.298734712,-0.209873471
Anthus_nilghiriensis,Antnilghi,NP5,II,Silent valley,Upper Bhavani,yes,0,NA,0,1,NA,01.low,01.non social,02.grassland,01.no,02.breaks,02.specialist,1900,19,22.03,2.203,21.57705583,2.1339285,22.19225995,-1.298734712,-0.209873471
Anthus_rufulus,Antruful,PFP1,III,High Wavies,Evb,yes,0,NA,0,1,NA,01.low,01.non social,02.grassland,01.no,01.no breaks,01.generalist,0,0,20.44,2.044,21.57705583,2.466758,22.19225995,-0.09776865,-0.009776865
Anthus_rufulus,Antruful,PFP2,IV,Peppara,Pandipath,yes,0,NA,0,0,NA,01.low,01.non social,02.grassland,01.no,01.no breaks,01.generalist,0,0,20.44,2.044,20.70490822,2.466758,20.89342999,-0.09776865,-0.009776865
Columba_elphinstonii,Colelphin,WP1,III,Kodi,Berijam,yes,1,H_COLELP01,0,1,WG_H_COLELP01,02.high,02.social,01.forest,01.no,01.no breaks,02.specialist,600,6,379,37.9,378.8801,NA,375,-5.05567,-0.505567
Columba_elphinstonii,Colelphin,WP2,II,Sispara,Road to campshed,yes,1,NA,0,1,NA,02.high,02.social,01.forest,01.no,01.no breaks,02.specialist,600,6,379,37.9,378.8801,NA,375,-5.05567,-0.505567
Columba_elphinstonii,Colelphin,WP3,III,High Wavies,Eravankalar boundary,yes,0,NA,0,0,NA,02.high,02.social,01.forest,01.no,01.no breaks,02.specialist,600,6,379,37.9,378.8801,NA,375,-5.05567,-0.505567
